"Date","Temp","Umidità","Remark"
2023/06/11 18:53:35,"25.88℃","60.44%",""
2023/06/11 19:03:35,"25.88℃","60.44%",""
2023/06/11 19:13:35,"25.94℃","60.19%",""
2023/06/11 19:23:35,"25.94℃","60.00%",""
2023/06/11 19:33:35,"25.94℃","59.56%",""
2023/06/11 19:43:35,"25.94℃","59.62%",""
2023/06/11 19:53:35,"25.94℃","59.56%",""
2023/06/11 20:03:35,"25.94℃","59.62%",""
2023/06/11 20:13:35,"25.94℃","59.50%",""
2023/06/11 20:23:35,"25.94℃","59.06%",""
2023/06/11 20:33:35,"26.00℃","58.88%",""
2023/06/11 20:43:35,"26.00℃","58.38%",""
2023/06/11 20:53:35,"25.94℃","57.62%",""
2023/06/11 21:03:35,"26.00℃","57.00%",""
2023/06/11 21:13:35,"25.94℃","58.19%",""
2023/06/11 21:23:35,"25.94℃","59.62%",""
2023/06/11 21:33:35,"25.94℃","61.19%",""
2023/06/11 21:43:35,"25.88℃","61.75%",""
2023/06/11 21:53:35,"25.81℃","61.88%",""
2023/06/11 22:03:35,"25.81℃","61.81%",""
2023/06/11 22:13:35,"25.75℃","61.94%",""
2023/06/11 22:23:35,"25.75℃","62.06%",""
2023/06/11 22:33:35,"25.81℃","62.25%",""
2023/06/11 22:43:35,"25.75℃","62.38%",""
2023/06/11 22:53:35,"25.75℃","62.44%",""
2023/06/11 23:03:35,"25.75℃","62.56%",""
2023/06/11 23:13:35,"25.75℃","62.81%",""
2023/06/11 23:23:35,"25.75℃","62.94%",""
2023/06/11 23:33:35,"25.75℃","63.00%",""
2023/06/11 23:43:35,"25.75℃","63.25%",""
2023/06/11 23:53:35,"25.75℃","63.38%",""
2023/06/12 00:03:35,"25.75℃","63.62%",""
2023/06/12 00:13:35,"25.69℃","63.62%",""
2023/06/12 00:23:35,"25.69℃","63.69%",""
2023/06/12 00:33:35,"25.69℃","63.56%",""
2023/06/12 00:43:35,"25.63℃","63.62%",""
2023/06/12 00:53:35,"25.63℃","63.50%",""
2023/06/12 01:03:35,"25.63℃","63.50%",""
2023/06/12 01:13:35,"25.56℃","63.62%",""
2023/06/12 01:23:35,"25.56℃","63.69%",""
2023/06/12 01:33:35,"25.56℃","63.69%",""
2023/06/12 01:43:35,"25.50℃","63.62%",""
2023/06/12 01:53:35,"25.50℃","63.44%",""
2023/06/12 02:03:35,"25.44℃","63.44%",""
2023/06/12 02:13:35,"25.44℃","63.50%",""
2023/06/12 02:23:35,"25.44℃","63.62%",""
2023/06/12 02:33:35,"25.38℃","63.56%",""
2023/06/12 02:43:35,"25.38℃","63.56%",""
2023/06/12 02:53:35,"25.31℃","63.56%",""
2023/06/12 03:03:35,"25.31℃","63.62%",""
2023/06/12 03:13:35,"25.31℃","63.62%",""
2023/06/12 03:23:35,"25.25℃","63.75%",""
2023/06/12 03:33:35,"25.25℃","63.62%",""
2023/06/12 03:43:35,"25.25℃","63.62%",""
2023/06/12 03:53:35,"25.19℃","63.62%",""
2023/06/12 04:03:35,"25.19℃","63.75%",""
2023/06/12 04:13:35,"25.19℃","63.88%",""
2023/06/12 04:23:35,"25.19℃","64.06%",""
2023/06/12 04:33:35,"25.13℃","64.25%",""
2023/06/12 04:43:35,"25.13℃","64.50%",""
2023/06/12 04:53:35,"25.13℃","64.56%",""
2023/06/12 05:03:35,"25.06℃","64.69%",""
