"Date","Temp","Umidità","Remark"
2023/03/03 18:11:59,"25.56℃","49.69%",""
2023/03/03 18:21:59,"16.31℃","38.06%",""
2023/03/03 18:31:59,"12.31℃","44.88%",""
2023/03/03 18:41:59,"11.06℃","48.31%",""
2023/03/03 18:51:59,"10.56℃","50.25%",""
2023/03/03 19:01:59,"10.38℃","51.62%",""
2023/03/03 19:11:59,"10.44℃","52.44%",""
2023/03/03 19:21:59,"10.50℃","52.69%",""
2023/03/03 19:31:59,"10.69℃","53.00%",""
2023/03/03 19:41:59,"10.69℃","53.19%",""
2023/03/03 19:51:59,"10.56℃","53.81%",""
2023/03/03 20:01:59,"10.38℃","54.12%",""
2023/03/03 20:11:59,"10.38℃","54.12%",""
2023/03/03 20:21:59,"10.31℃","53.69%",""
2023/03/03 20:31:59,"10.13℃","55.19%",""
2023/03/03 20:41:59,"10.00℃","55.62%",""
2023/03/03 20:51:59,"9.88℃","56.94%",""
2023/03/03 21:01:59,"9.94℃","57.25%",""
2023/03/03 21:11:59,"9.94℃","57.38%",""
2023/03/03 21:21:59,"9.81℃","57.00%",""
2023/03/03 21:31:59,"9.75℃","56.94%",""
2023/03/03 21:41:59,"9.50℃","57.44%",""
2023/03/03 21:51:59,"9.31℃","57.94%",""
2023/03/03 22:01:59,"9.25℃","58.00%",""
2023/03/03 22:11:59,"9.19℃","58.19%",""
2023/03/03 22:21:59,"9.19℃","58.25%",""
2023/03/03 22:31:59,"9.19℃","58.12%",""
2023/03/03 22:41:59,"9.13℃","58.12%",""
2023/03/03 22:51:59,"9.13℃","58.12%",""
2023/03/03 23:01:59,"9.00℃","58.50%",""
2023/03/03 23:11:59,"8.88℃","58.81%",""
2023/03/03 23:21:59,"8.63℃","59.31%",""
2023/03/03 23:31:59,"8.50℃","60.19%",""
2023/03/03 23:41:59,"8.31℃","60.75%",""
2023/03/03 23:51:59,"8.25℃","60.69%",""
2023/03/04 00:01:59,"8.25℃","61.31%",""
2023/03/04 00:11:59,"8.31℃","61.00%",""
2023/03/04 00:21:59,"8.25℃","60.75%",""
2023/03/04 00:31:59,"8.25℃","60.62%",""
2023/03/04 00:41:59,"8.19℃","60.56%",""
2023/03/04 00:51:59,"8.13℃","60.69%",""
2023/03/04 01:01:59,"8.06℃","60.75%",""
2023/03/04 01:11:59,"8.00℃","60.94%",""
2023/03/04 01:21:59,"8.00℃","61.06%",""
2023/03/04 01:31:59,"7.88℃","61.25%",""
2023/03/04 01:41:59,"7.81℃","61.06%",""
2023/03/04 01:51:59,"7.75℃","61.19%",""
2023/03/04 02:01:59,"7.63℃","61.38%",""
2023/03/04 02:11:59,"7.56℃","61.75%",""
2023/03/04 02:21:59,"7.44℃","61.94%",""
2023/03/04 02:31:59,"7.25℃","62.50%",""
2023/03/04 02:41:59,"7.00℃","62.88%",""
2023/03/04 02:51:59,"6.88℃","62.81%",""
2023/03/04 03:01:59,"6.94℃","62.62%",""
2023/03/04 03:11:59,"7.13℃","62.44%",""
2023/03/04 03:21:59,"7.19℃","62.19%",""
2023/03/04 03:31:59,"7.19℃","62.12%",""
2023/03/04 03:41:59,"7.13℃","62.25%",""
2023/03/04 03:51:59,"7.06℃","62.56%",""
2023/03/04 04:01:59,"7.00℃","62.75%",""
2023/03/04 04:11:59,"6.88℃","62.62%",""
2023/03/04 04:21:59,"6.81℃","62.81%",""
2023/03/04 04:31:59,"6.75℃","63.00%",""
2023/03/04 04:41:59,"6.63℃","63.31%",""
2023/03/04 04:51:59,"6.44℃","63.62%",""
2023/03/04 05:01:59,"6.31℃","63.81%",""
2023/03/04 05:11:59,"6.19℃","64.19%",""
2023/03/04 05:21:59,"6.00℃","64.31%",""
2023/03/04 05:31:59,"5.81℃","65.25%",""
2023/03/04 05:41:59,"5.69℃","65.50%",""
2023/03/04 05:51:59,"5.63℃","65.88%",""
2023/03/04 06:01:59,"5.56℃","65.75%",""
2023/03/04 06:11:59,"5.50℃","65.94%",""
2023/03/04 06:21:59,"5.44℃","66.25%",""
2023/03/04 06:31:59,"5.25℃","66.19%",""
2023/03/04 06:41:59,"5.06℃","66.56%",""
2023/03/04 06:51:59,"5.00℃","66.69%",""
2023/03/04 07:01:59,"4.94℃","66.88%",""
2023/03/04 07:11:59,"4.75℃","67.00%",""
2023/03/04 07:21:59,"4.75℃","67.19%",""
2023/03/04 07:31:59,"4.69℃","67.25%",""
2023/03/04 07:41:59,"4.81℃","67.44%",""
2023/03/04 07:51:59,"4.94℃","67.31%",""
2023/03/04 08:01:59,"5.19℃","67.00%",""
2023/03/04 08:11:59,"5.44℃","66.94%",""
2023/03/04 08:21:59,"5.81℃","66.31%",""
2023/03/04 08:31:59,"6.19℃","65.94%",""
2023/03/04 08:41:59,"6.56℃","65.19%",""
2023/03/04 08:51:59,"6.63℃","64.69%",""
2023/03/04 09:01:59,"6.94℃","64.69%",""
2023/03/04 09:11:59,"7.31℃","64.31%",""
2023/03/04 09:21:59,"7.63℃","64.19%",""
2023/03/04 09:31:59,"8.00℃","64.19%",""
2023/03/04 09:41:59,"8.25℃","63.50%",""
2023/03/04 09:51:59,"8.44℃","63.12%",""
2023/03/04 10:01:59,"8.63℃","62.75%",""
2023/03/04 10:11:59,"8.88℃","62.75%",""
2023/03/04 10:21:59,"9.13℃","62.12%",""
2023/03/04 10:31:59,"9.31℃","61.75%",""
2023/03/04 10:41:59,"9.56℃","61.88%",""
2023/03/04 10:51:59,"9.75℃","60.88%",""
2023/03/04 11:01:59,"9.94℃","60.75%",""
2023/03/04 11:11:59,"10.19℃","59.69%",""
2023/03/04 11:21:59,"10.25℃","59.50%",""
2023/03/04 11:31:59,"10.50℃","59.69%",""
2023/03/04 11:41:59,"10.69℃","58.94%",""
2023/03/04 11:51:59,"10.75℃","59.12%",""
2023/03/04 12:01:59,"11.25℃","58.62%",""
2023/03/04 12:11:59,"11.31℃","58.50%",""
2023/03/04 12:21:59,"11.56℃","57.69%",""
2023/03/04 12:31:59,"11.75℃","56.81%",""
2023/03/04 12:41:59,"11.63℃","55.81%",""
2023/03/04 12:51:59,"12.00℃","55.50%",""
2023/03/04 13:01:59,"12.06℃","55.25%",""
2023/03/04 13:11:59,"12.13℃","55.56%",""
2023/03/04 13:21:59,"12.19℃","54.94%",""
2023/03/04 13:31:59,"12.25℃","54.75%",""
2023/03/04 13:41:59,"12.44℃","54.38%",""
2023/03/04 13:51:59,"12.38℃","54.62%",""
2023/03/04 14:01:59,"12.44℃","54.44%",""
2023/03/04 14:11:59,"12.75℃","54.62%",""
2023/03/04 14:21:59,"12.69℃","54.44%",""
2023/03/04 14:31:59,"12.63℃","53.56%",""
2023/03/04 14:41:59,"12.63℃","53.56%",""
2023/03/04 14:51:59,"12.63℃","53.62%",""
2023/03/04 15:01:59,"12.75℃","53.06%",""
2023/03/04 15:11:59,"12.81℃","52.38%",""
2023/03/04 15:21:59,"12.69℃","52.12%",""
2023/03/04 15:31:59,"12.69℃","52.00%",""
2023/03/04 15:41:59,"12.63℃","51.81%",""
2023/03/04 15:51:59,"12.56℃","51.94%",""
2023/03/04 16:01:59,"12.56℃","52.00%",""
2023/03/04 16:11:59,"12.56℃","51.81%",""
2023/03/04 16:21:59,"12.56℃","52.06%",""
2023/03/04 16:31:59,"12.38℃","51.81%",""
2023/03/04 16:41:59,"12.38℃","52.31%",""
2023/03/04 16:51:59,"12.19℃","53.06%",""
