Date,Temp,Umidità,Remark
2023/06/11 19:09:28,"29.63℃","48.25%",""
2023/06/11 19:19:28,"30.50℃","46.81%",""
2023/06/11 19:29:28,"29.94℃","47.50%",""
2023/06/11 19:39:28,"29.75℃","47.88%",""
2023/06/11 19:49:28,"29.44℃","48.25%",""
2023/06/11 19:59:28,"29.38℃","48.25%",""
2023/06/11 20:09:28,"29.19℃","48.94%",""
2023/06/11 20:19:28,"28.94℃","48.81%",""
2023/06/11 20:29:28,"28.63℃","48.88%",""
2023/06/11 20:39:28,"28.31℃","49.19%",""
2023/06/11 20:49:28,"27.88℃","49.31%",""
2023/06/11 20:59:28,"27.50℃","49.44%",""
2023/06/11 21:09:28,"26.75℃","52.56%",""
2023/06/11 21:19:28,"25.75℃","57.06%",""
2023/06/11 21:29:28,"24.00℃","62.69%",""
2023/06/11 21:39:28,"23.06℃","64.31%",""
2023/06/11 21:49:28,"22.19℃","66.31%",""
2023/06/11 21:59:28,"22.00℃","66.69%",""
2023/06/11 22:09:28,"21.75℃","67.94%",""
2023/06/11 22:19:28,"21.50℃","68.69%",""
2023/06/11 22:29:28,"20.75℃","70.56%",""
2023/06/11 22:39:28,"20.06℃","72.81%",""
2023/06/11 22:49:28,"19.81℃","74.50%",""
2023/06/11 22:59:28,"19.75℃","75.69%",""
2023/06/11 23:09:28,"19.50℃","76.88%",""
2023/06/11 23:19:28,"19.44℃","78.00%",""
2023/06/11 23:29:28,"19.44℃","78.00%",""
2023/06/11 23:39:28,"19.38℃","77.94%",""
2023/06/11 23:49:28,"19.25℃","77.94%",""
2023/06/11 23:59:28,"19.25℃","77.75%",""
2023/06/12 00:09:28,"19.13℃","77.81%",""
2023/06/12 00:19:28,"19.00℃","77.81%",""
2023/06/12 00:29:28,"19.00℃","77.88%",""
2023/06/12 00:39:28,"18.94℃","77.75%",""
2023/06/12 00:49:28,"19.06℃","79.81%",""
2023/06/12 00:59:28,"19.25℃","78.12%",""
2023/06/12 01:09:28,"19.44℃","78.50%",""
2023/06/12 01:19:28,"19.63℃","78.62%",""
2023/06/12 01:29:28,"19.75℃","78.19%",""
2023/06/12 01:39:28,"19.69℃","77.62%",""
2023/06/12 01:49:28,"19.69℃","76.88%",""
2023/06/12 01:59:28,"19.63℃","76.81%",""
2023/06/12 02:09:28,"19.56℃","76.81%",""
2023/06/12 02:19:28,"19.56℃","76.88%",""
2023/06/12 02:29:28,"19.44℃","77.50%",""
2023/06/12 02:39:28,"19.19℃","78.25%",""
2023/06/12 02:49:28,"19.00℃","78.69%",""
2023/06/12 02:59:28,"18.94℃","78.69%",""
2023/06/12 03:09:28,"18.81℃","79.12%",""
2023/06/12 03:19:28,"18.69℃","79.62%",""
2023/06/12 03:29:28,"18.50℃","79.31%",""
2023/06/12 03:39:28,"18.56℃","78.94%",""
2023/06/12 03:49:28,"18.50℃","79.06%",""
2023/06/12 03:59:28,"18.56℃","78.62%",""
2023/06/12 04:09:28,"18.50℃","78.50%",""
2023/06/12 04:19:28,"18.44℃","78.50%",""
2023/06/12 04:29:28,"18.50℃","78.62%",""
2023/06/12 04:39:28,"18.44℃","78.88%",""
2023/06/12 04:49:28,"18.38℃","79.81%",""
2023/06/12 04:59:28,"18.38℃","79.75%",""
2023/06/12 05:09:28,"18.31℃","80.25%",""
2023/06/12 05:19:28,"18.50℃","80.88%",""
2023/06/12 05:29:28,"18.50℃","80.06%",""
2023/06/12 05:39:28,"18.44℃","80.00%",""
2023/06/12 05:49:28,"18.56℃","80.50%",""
2023/06/12 05:59:28,"18.69℃","79.81%",""
2023/06/12 06:09:28,"18.69℃","79.69%",""
2023/06/12 06:19:28,"18.75℃","79.69%",""
2023/06/12 06:29:28,"18.94℃","79.06%",""
2023/06/12 06:39:28,"19.06℃","79.31%",""
2023/06/12 06:49:28,"19.25℃","78.88%",""
2023/06/12 06:59:28,"19.44℃","78.25%",""
2023/06/12 07:09:28,"19.94℃","77.19%",""
2023/06/12 07:19:28,"20.56℃","75.81%",""
2023/06/12 07:29:28,"20.56℃","74.94%",""
2023/06/12 07:39:28,"20.38℃","75.75%",""
2023/06/12 07:49:28,"20.50℃","75.75%",""
2023/06/12 07:59:28,"21.25℃","74.75%",""
2023/06/12 08:09:28,"22.94℃","70.56%",""
2023/06/12 08:19:28,"23.81℃","67.44%",""
2023/06/12 08:29:28,"24.56℃","66.25%",""
2023/06/12 08:39:28,"23.69℃","65.12%",""
2023/06/12 08:49:28,"22.81℃","66.12%",""
2023/06/12 08:59:28,"22.44℃","67.12%",""
2023/06/12 09:09:28,"22.13℃","66.62%",""
2023/06/12 09:19:28,"22.06℃","66.00%",""
2023/06/12 09:29:28,"22.00℃","65.69%",""
2023/06/12 09:39:28,"22.13℃","65.88%",""
2023/06/12 09:49:28,"22.25℃","66.06%",""
2023/06/12 09:59:28,"22.31℃","65.38%",""
2023/06/12 10:09:28,"22.44℃","64.88%",""
2023/06/12 10:19:28,"22.50℃","64.56%",""
2023/06/12 10:29:28,"22.56℃","64.56%",""
2023/06/12 10:39:28,"22.75℃","63.50%",""
2023/06/12 10:49:28,"22.88℃","62.12%",""
2023/06/12 10:59:28,"23.06℃","62.19%",""
2023/06/12 11:09:28,"23.25℃","62.00%",""
2023/06/12 11:19:28,"23.44℃","61.69%",""
2023/06/12 11:29:28,"23.56℃","60.81%",""
2023/06/12 11:39:28,"23.63℃","60.06%",""
2023/06/12 11:49:28,"23.75℃","59.69%",""
2023/06/12 11:59:28,"23.81℃","59.06%",""
2023/06/12 12:09:28,"24.00℃","58.69%",""
2023/06/12 12:19:28,"24.13℃","58.62%",""
2023/06/12 12:29:28,"24.44℃","59.44%",""
2023/06/12 12:39:28,"24.50℃","58.56%",""
2023/06/12 12:49:28,"24.63℃","57.38%",""
2023/06/12 12:59:28,"24.56℃","57.56%",""
2023/06/12 13:09:28,"24.56℃","57.19%",""
2023/06/12 13:19:28,"24.88℃","58.00%",""
2023/06/12 13:29:28,"25.06℃","57.44%",""
2023/06/12 13:39:28,"25.13℃","57.25%",""
2023/06/12 13:49:28,"25.44℃","56.75%",""
2023/06/12 13:59:28,"25.63℃","56.12%",""
2023/06/12 14:09:28,"25.88℃","55.06%",""
2023/06/12 14:19:28,"26.13℃","54.69%",""
2023/06/12 14:29:28,"26.31℃","54.00%",""
2023/06/12 14:39:28,"26.38℃","53.62%",""
2023/06/12 14:49:28,"26.69℃","53.88%",""
2023/06/12 14:59:28,"26.94℃","52.88%",""
2023/06/12 15:09:28,"27.19℃","52.25%",""
2023/06/12 15:19:28,"27.25℃","50.69%",""
2023/06/12 15:29:28,"27.38℃","51.50%",""
2023/06/12 15:39:28,"27.44℃","51.12%",""
2023/06/12 15:49:28,"27.63℃","51.00%",""
2023/06/12 15:59:28,"27.81℃","50.44%",""
2023/06/12 16:09:28,"27.94℃","50.19%",""
2023/06/12 16:19:28,"27.81℃","49.50%",""
2023/06/12 16:29:28,"27.75℃","49.81%",""
2023/06/12 16:39:28,"27.81℃","49.81%",""
2023/06/12 16:49:28,"28.13℃","49.81%",""
2023/06/12 16:59:28,"28.38℃","49.25%",""
2023/06/12 17:09:28,"28.44℃","49.56%",""
2023/06/12 17:19:28,"28.38℃","50.06%",""
2023/06/12 17:29:28,"28.31℃","50.12%",""
2023/06/12 17:39:28,"28.50℃","50.19%",""
2023/06/12 17:49:28,"28.69℃","49.81%",""
2023/06/12 17:59:28,"28.69℃","50.06%",""
2023/06/12 18:09:28,"28.69℃","49.81%",""
2023/06/12 18:19:28,"28.75℃","50.25%",""
2023/06/12 18:29:28,"28.75℃","50.19%",""
2023/06/12 18:39:28,"28.69℃","50.31%",""
2023/06/12 18:49:28,"28.94℃","50.31%",""
2023/06/12 18:59:28,"29.13℃","50.44%",""
2023/06/12 19:09:28,"30.00℃","49.38%",""
2023/06/12 19:19:28,"30.63℃","47.75%",""
2023/06/12 19:29:28,"29.31℃","49.06%",""
2023/06/12 19:39:28,"28.56℃","50.31%",""
2023/06/12 19:49:28,"28.13℃","51.25%",""
2023/06/12 19:59:28,"27.75℃","52.38%",""
2023/06/12 20:09:28,"27.50℃","52.75%",""
2023/06/12 20:19:28,"27.31℃","52.88%",""
2023/06/12 20:29:28,"27.13℃","53.44%",""
2023/06/12 20:39:28,"26.88℃","53.81%",""
2023/06/12 20:49:28,"26.63℃","54.50%",""
2023/06/12 20:59:28,"25.38℃","60.75%",""
2023/06/12 21:09:28,"25.06℃","62.00%",""
2023/06/12 21:19:28,"24.81℃","62.94%",""
2023/06/12 21:29:28,"24.69℃","63.94%",""
2023/06/12 21:39:28,"24.44℃","65.06%",""
2023/06/12 21:49:28,"23.25℃","67.12%",""
2023/06/12 21:59:28,"22.63℃","66.88%",""
2023/06/12 22:09:28,"22.44℃","66.69%",""
2023/06/12 22:19:28,"22.19℃","66.69%",""
2023/06/12 22:29:28,"21.88℃","67.12%",""
2023/06/12 22:39:28,"21.75℃","67.38%",""
2023/06/12 22:49:28,"21.63℃","67.56%",""
2023/06/12 22:59:28,"21.50℃","66.88%",""
2023/06/12 23:09:28,"21.31℃","67.12%",""
2023/06/12 23:19:28,"21.25℃","67.56%",""
2023/06/12 23:29:28,"21.19℃","68.00%",""
2023/06/12 23:39:28,"21.06℃","67.94%",""
2023/06/12 23:49:28,"21.00℃","67.69%",""
2023/06/12 23:59:28,"20.81℃","67.94%",""
2023/06/13 00:09:28,"20.69℃","68.44%",""
2023/06/13 00:19:28,"20.56℃","68.50%",""
2023/06/13 00:29:28,"20.50℃","69.06%",""
2023/06/13 00:39:28,"20.56℃","69.31%",""
2023/06/13 00:49:28,"20.63℃","69.44%",""
2023/06/13 00:59:28,"20.56℃","69.56%",""
2023/06/13 01:09:28,"20.44℃","70.25%",""
2023/06/13 01:19:28,"20.25℃","71.19%",""
2023/06/13 01:29:28,"20.19℃","71.44%",""
2023/06/13 01:39:28,"20.19℃","71.69%",""
2023/06/13 01:49:28,"20.13℃","71.56%",""
2023/06/13 01:59:28,"19.88℃","72.25%",""
2023/06/13 02:09:28,"19.75℃","72.31%",""
2023/06/13 02:19:28,"19.69℃","72.88%",""
2023/06/13 02:29:28,"19.63℃","73.50%",""
2023/06/13 02:39:28,"19.63℃","74.06%",""
2023/06/13 02:49:28,"19.75℃","74.19%",""
2023/06/13 02:59:28,"19.75℃","74.19%",""
2023/06/13 03:09:28,"19.63℃","75.00%",""
2023/06/13 03:19:28,"19.56℃","75.44%",""
2023/06/13 03:29:28,"19.81℃","75.00%",""
2023/06/13 03:39:28,"19.88℃","75.12%",""
2023/06/13 03:49:28,"19.81℃","74.62%",""
2023/06/13 03:59:28,"19.63℃","75.19%",""
2023/06/13 04:09:28,"19.63℃","75.19%",""
2023/06/13 04:19:28,"19.56℃","75.25%",""
2023/06/13 04:29:28,"19.63℃","74.62%",""
2023/06/13 04:39:28,"19.56℃","74.44%",""
2023/06/13 04:49:28,"19.38℃","74.25%",""
