"Date","Temp","Umidità","Remark"
2023/03/25 19:14:17,"22.63℃","66.00%",""
2023/03/25 19:24:17,"22.56℃","48.88%",""
2023/03/25 19:34:17,"21.81℃","49.12%",""
2023/03/25 19:44:17,"21.50℃","49.06%",""
2023/03/25 19:54:17,"21.44℃","49.50%",""
2023/03/25 20:04:17,"21.38℃","50.31%",""
2023/03/25 20:14:17,"21.44℃","50.75%",""
2023/03/25 20:24:17,"21.44℃","51.50%",""
2023/03/25 20:34:17,"21.44℃","51.75%",""
2023/03/25 20:44:17,"21.44℃","52.06%",""
2023/03/25 20:54:17,"21.44℃","52.31%",""
2023/03/25 21:04:17,"21.44℃","53.00%",""
2023/03/25 21:14:17,"21.44℃","53.00%",""
2023/03/25 21:24:17,"21.38℃","53.50%",""
2023/03/25 21:34:17,"21.44℃","54.00%",""
2023/03/25 21:44:17,"21.44℃","54.06%",""
2023/03/25 21:54:17,"21.44℃","54.50%",""
2023/03/25 22:04:17,"21.44℃","55.12%",""
2023/03/25 22:14:17,"21.44℃","55.88%",""
2023/03/25 22:24:17,"21.44℃","55.75%",""
2023/03/25 22:34:17,"21.38℃","55.88%",""
2023/03/25 22:44:17,"21.38℃","56.12%",""
2023/03/25 22:54:17,"21.38℃","56.12%",""
2023/03/25 23:04:17,"21.31℃","56.31%",""
2023/03/25 23:14:17,"21.31℃","56.50%",""
2023/03/25 23:24:17,"21.31℃","57.12%",""
2023/03/25 23:34:17,"21.25℃","57.81%",""
2023/03/25 23:44:17,"21.31℃","58.69%",""
2023/03/25 23:54:17,"21.25℃","58.56%",""
2023/03/26 00:04:17,"21.19℃","58.50%",""
2023/03/26 00:14:17,"21.19℃","58.50%",""
2023/03/26 00:24:17,"21.13℃","58.44%",""
2023/03/26 00:34:17,"21.13℃","59.12%",""
2023/03/26 00:44:17,"21.25℃","59.81%",""
2023/03/26 00:54:17,"21.13℃","59.50%",""
2023/03/26 01:04:17,"21.06℃","59.62%",""
2023/03/26 01:14:17,"21.00℃","59.81%",""
2023/03/26 01:24:17,"20.94℃","59.75%",""
2023/03/26 01:34:17,"20.94℃","59.75%",""
2023/03/26 01:44:17,"20.88℃","59.69%",""
