"Date","Temp","Umidità","Remark"
2023/03/22 14:02:49,"21.00℃","52.88%",""
2023/03/22 14:12:49,"21.00℃","53.31%",""
2023/03/22 14:22:49,"20.94℃","53.62%",""
2023/03/22 14:32:49,"20.94℃","53.88%",""
2023/03/22 14:42:49,"20.94℃","54.06%",""
2023/03/22 14:52:49,"20.94℃","54.12%",""
2023/03/22 15:02:49,"20.94℃","54.06%",""
2023/03/22 15:12:49,"20.94℃","54.19%",""
2023/03/22 15:22:49,"20.88℃","54.38%",""
2023/03/22 15:32:49,"20.88℃","54.50%",""
2023/03/22 15:42:49,"20.81℃","54.56%",""
2023/03/22 15:52:49,"20.81℃","54.44%",""
2023/03/22 16:02:49,"20.81℃","54.62%",""
2023/03/22 16:12:49,"20.81℃","54.81%",""
2023/03/22 16:22:49,"20.75℃","56.19%",""
2023/03/22 16:32:49,"20.75℃","55.94%",""
2023/03/22 16:42:49,"20.75℃","55.81%",""
2023/03/22 16:52:49,"20.69℃","56.00%",""
2023/03/22 17:02:49,"20.69℃","55.94%",""
2023/03/22 17:12:49,"20.69℃","55.81%",""
2023/03/22 17:22:49,"20.69℃","55.56%",""
2023/03/22 17:32:49,"20.63℃","55.69%",""
2023/03/22 17:42:49,"20.63℃","56.06%",""
2023/03/22 17:52:49,"20.63℃","55.94%",""
2023/03/22 18:02:49,"20.63℃","55.19%",""
2023/03/22 18:12:49,"20.56℃","54.75%",""
2023/03/22 18:22:49,"20.56℃","54.62%",""
2023/03/22 18:32:49,"20.56℃","54.31%",""
2023/03/22 18:42:49,"20.50℃","54.50%",""
2023/03/22 18:52:49,"20.56℃","54.56%",""
2023/03/22 19:02:49,"20.63℃","54.62%",""
2023/03/22 19:12:49,"20.75℃","55.94%",""
2023/03/22 19:22:49,"21.00℃","77.12%",""
2023/03/22 19:32:49,"21.06℃","72.06%",""
2023/03/22 19:42:49,"21.00℃","73.06%",""
2023/03/22 19:52:49,"21.00℃","69.94%",""
2023/03/22 20:02:49,"21.00℃","68.12%",""
2023/03/22 20:12:49,"20.94℃","66.62%",""
2023/03/22 20:22:49,"20.94℃","65.38%",""
2023/03/22 20:32:49,"20.94℃","63.81%",""
2023/03/22 20:42:49,"20.88℃","62.06%",""
2023/03/22 20:52:49,"20.94℃","62.88%",""
2023/03/22 21:02:49,"20.94℃","63.19%",""
2023/03/22 21:12:49,"20.94℃","63.12%",""
2023/03/22 21:22:49,"20.94℃","63.06%",""
2023/03/22 21:32:49,"20.94℃","62.88%",""
2023/03/22 21:42:49,"20.94℃","63.44%",""
2023/03/22 21:52:49,"20.94℃","63.56%",""
2023/03/22 22:02:49,"21.00℃","63.62%",""
2023/03/22 22:12:49,"21.06℃","63.56%",""
2023/03/22 22:22:49,"21.13℃","63.50%",""
2023/03/22 22:32:49,"21.13℃","63.38%",""
2023/03/22 22:42:49,"21.19℃","63.44%",""
2023/03/22 22:52:49,"21.19℃","63.44%",""
2023/03/22 23:02:49,"21.19℃","63.56%",""
2023/03/22 23:12:49,"21.31℃","64.00%",""
2023/03/22 23:22:49,"21.44℃","63.81%",""
2023/03/22 23:32:49,"21.31℃","63.44%",""
2023/03/22 23:42:49,"21.25℃","63.12%",""
2023/03/22 23:52:49,"21.19℃","62.94%",""
2023/03/23 00:02:49,"21.13℃","62.81%",""
2023/03/23 00:12:49,"21.06℃","62.62%",""
2023/03/23 00:22:49,"21.06℃","62.56%",""
2023/03/23 00:32:49,"21.00℃","62.44%",""
2023/03/23 00:42:49,"20.94℃","62.31%",""
2023/03/23 00:52:49,"20.94℃","62.19%",""
2023/03/23 01:02:49,"20.88℃","62.12%",""
2023/03/23 01:12:49,"20.88℃","62.00%",""
2023/03/23 01:22:49,"20.81℃","61.94%",""
