Date,Temp,Umidità,Remark
2023/03/02 10:11:52,"17.75℃","51.62%",""
2023/03/02 10:21:52,"22.06℃","43.75%",""
2023/03/02 10:31:52,"20.69℃","45.12%",""
2023/03/02 10:41:52,"20.25℃","46.00%",""
2023/03/02 10:51:52,"20.00℃","46.44%",""
2023/03/02 11:01:52,"19.94℃","46.69%",""
2023/03/02 11:11:52,"19.88℃","46.88%",""
2023/03/02 11:21:52,"19.94℃","46.88%",""
2023/03/02 11:31:52,"20.00℃","46.75%",""
2023/03/02 11:41:52,"20.06℃","46.62%",""
2023/03/02 11:51:52,"20.13℃","46.56%",""
2023/03/02 12:01:52,"20.13℃","46.69%",""
2023/03/02 12:11:52,"20.25℃","46.69%",""
2023/03/02 12:21:52,"20.25℃","46.81%",""
2023/03/02 12:31:52,"20.31℃","46.75%",""
2023/03/02 12:41:52,"20.38℃","46.94%",""
2023/03/02 12:51:52,"20.38℃","46.88%",""
2023/03/02 13:01:52,"20.44℃","47.00%",""
2023/03/02 13:11:52,"20.44℃","48.50%",""
2023/03/02 13:21:52,"20.50℃","49.81%",""
2023/03/02 13:31:52,"20.50℃","51.31%",""
2023/03/02 13:41:52,"20.56℃","50.38%",""
2023/03/02 13:51:52,"20.63℃","49.62%",""
2023/03/02 14:01:52,"20.63℃","50.06%",""
2023/03/02 14:11:52,"20.69℃","49.25%",""
2023/03/02 14:21:52,"20.69℃","49.06%",""
2023/03/02 14:31:52,"20.69℃","48.94%",""
2023/03/02 14:41:52,"20.69℃","48.88%",""
2023/03/02 14:51:52,"20.63℃","48.81%",""
2023/03/02 15:01:52,"20.63℃","49.06%",""
2023/03/02 15:11:52,"20.63℃","49.62%",""
2023/03/02 15:21:52,"20.63℃","49.12%",""
2023/03/02 15:31:52,"20.56℃","48.88%",""
2023/03/02 15:41:52,"20.50℃","48.75%",""
2023/03/02 15:51:52,"20.56℃","48.62%",""
2023/03/02 16:01:52,"20.56℃","48.50%",""
2023/03/02 16:11:52,"20.63℃","48.44%",""
2023/03/02 16:21:52,"20.69℃","48.31%",""
2023/03/02 16:31:52,"20.75℃","48.19%",""
2023/03/02 16:41:52,"20.81℃","48.19%",""
2023/03/02 16:51:52,"20.81℃","48.19%",""
2023/03/02 17:01:52,"20.88℃","48.06%",""
2023/03/02 17:11:52,"20.88℃","47.94%",""
2023/03/02 17:21:52,"20.94℃","47.94%",""
2023/03/02 17:31:52,"20.94℃","47.94%",""
2023/03/02 17:41:52,"21.00℃","48.12%",""
2023/03/02 17:51:52,"21.00℃","48.69%",""
2023/03/02 18:01:52,"21.00℃","48.56%",""
2023/03/02 18:11:52,"21.00℃","48.62%",""
2023/03/02 18:21:52,"21.06℃","48.94%",""
2023/03/02 18:31:52,"21.06℃","49.31%",""
2023/03/02 18:41:52,"21.13℃","51.81%",""
2023/03/02 18:51:52,"21.13℃","53.19%",""
2023/03/02 19:01:52,"21.13℃","53.94%",""
2023/03/02 19:11:52,"21.19℃","56.94%",""
2023/03/02 19:21:52,"21.25℃","53.94%",""
2023/03/02 19:31:52,"21.25℃","58.94%",""
2023/03/02 19:41:52,"21.31℃","60.94%",""
2023/03/02 19:51:52,"21.38℃","60.56%",""
2023/03/02 20:01:52,"21.50℃","61.38%",""
2023/03/02 20:11:52,"21.50℃","60.56%",""
2023/03/02 20:21:52,"21.50℃","59.12%",""
2023/03/02 20:31:52,"21.56℃","58.19%",""
2023/03/02 20:41:52,"21.56℃","57.75%",""
2023/03/02 20:51:52,"21.56℃","57.31%",""
2023/03/02 21:01:52,"21.63℃","56.88%",""
2023/03/02 21:11:52,"21.63℃","56.62%",""
2023/03/02 21:21:52,"21.69℃","56.38%",""
2023/03/02 21:31:52,"21.63℃","56.00%",""
2023/03/02 21:41:52,"21.56℃","55.75%",""
2023/03/02 21:51:52,"21.56℃","55.56%",""
2023/03/02 22:01:52,"21.50℃","55.44%",""
2023/03/02 22:11:52,"21.44℃","55.31%",""
2023/03/02 22:21:52,"21.38℃","55.19%",""
2023/03/02 22:31:52,"21.38℃","55.12%",""
2023/03/02 22:41:52,"21.25℃","54.81%",""
2023/03/02 22:51:52,"21.19℃","54.69%",""
2023/03/02 23:01:52,"21.13℃","54.81%",""
2023/03/02 23:11:52,"21.06℃","54.81%",""
2023/03/02 23:21:52,"21.00℃","54.88%",""
2023/03/02 23:31:52,"20.94℃","54.62%",""
2023/03/02 23:41:52,"20.88℃","54.69%",""
2023/03/02 23:51:52,"20.81℃","54.81%",""
2023/03/03 00:01:52,"20.75℃","54.75%",""
2023/03/03 00:11:52,"20.69℃","54.81%",""
2023/03/03 00:21:52,"20.63℃","54.81%",""
2023/03/03 00:31:52,"20.56℃","54.81%",""
2023/03/03 00:41:52,"20.50℃","54.88%",""
2023/03/03 00:51:52,"20.50℃","54.81%",""
2023/03/03 01:01:52,"20.50℃","54.94%",""
2023/03/03 01:11:52,"20.44℃","54.81%",""
2023/03/03 01:21:52,"20.38℃","54.94%",""
2023/03/03 01:31:52,"20.38℃","54.81%",""
2023/03/03 01:41:52,"20.31℃","54.69%",""
2023/03/03 01:51:52,"20.25℃","54.69%",""
2023/03/03 02:01:52,"20.25℃","54.75%",""
2023/03/03 02:11:52,"20.19℃","54.75%",""
2023/03/03 02:21:52,"20.13℃","54.50%",""
2023/03/03 02:31:52,"20.06℃","54.44%",""
2023/03/03 02:41:52,"20.06℃","54.50%",""
2023/03/03 02:51:52,"20.00℃","54.44%",""
2023/03/03 03:01:52,"20.00℃","54.50%",""
2023/03/03 03:11:52,"19.94℃","54.56%",""
2023/03/03 03:21:52,"19.88℃","54.44%",""
2023/03/03 03:31:52,"19.81℃","54.44%",""
2023/03/03 03:41:52,"19.81℃","54.38%",""
2023/03/03 03:51:52,"19.75℃","54.44%",""
2023/03/03 04:01:52,"19.69℃","54.31%",""
2023/03/03 04:11:52,"19.69℃","54.25%",""
2023/03/03 04:21:52,"19.63℃","54.19%",""
2023/03/03 04:31:52,"19.63℃","54.06%",""
2023/03/03 04:41:52,"19.56℃","54.00%",""
2023/03/03 04:51:52,"19.50℃","54.06%",""
2023/03/03 05:01:52,"19.44℃","53.94%",""
2023/03/03 05:11:52,"19.44℃","54.00%",""
2023/03/03 05:21:52,"19.44℃","54.00%",""
2023/03/03 05:31:52,"19.38℃","53.94%",""
2023/03/03 05:41:52,"19.31℃","53.94%",""
2023/03/03 05:51:52,"19.31℃","53.94%",""
2023/03/03 06:01:52,"19.25℃","53.62%",""
2023/03/03 06:11:52,"19.25℃","53.62%",""
2023/03/03 06:21:52,"19.25℃","53.62%",""
2023/03/03 06:31:52,"19.25℃","53.62%",""
2023/03/03 06:41:52,"19.31℃","53.75%",""
2023/03/03 06:51:52,"19.31℃","53.88%",""
2023/03/03 07:01:52,"19.38℃","53.69%",""
2023/03/03 07:11:52,"19.50℃","53.50%",""
2023/03/03 07:21:52,"19.56℃","53.44%",""
2023/03/03 07:31:52,"19.69℃","53.31%",""
2023/03/03 07:41:52,"19.75℃","53.06%",""
2023/03/03 07:51:52,"19.88℃","53.00%",""
2023/03/03 08:01:52,"19.94℃","52.69%",""
2023/03/03 08:11:52,"20.00℃","52.56%",""
2023/03/03 08:21:52,"20.06℃","52.44%",""
2023/03/03 08:31:52,"20.13℃","52.31%",""
2023/03/03 08:41:52,"20.19℃","52.38%",""
2023/03/03 08:51:52,"20.19℃","52.25%",""
2023/03/03 09:01:52,"20.25℃","52.19%",""
2023/03/03 09:11:52,"20.25℃","52.12%",""
2023/03/03 09:21:52,"20.19℃","52.12%",""
2023/03/03 09:31:52,"20.19℃","52.12%",""
2023/03/03 09:41:52,"20.19℃","52.06%",""
2023/03/03 09:51:52,"20.19℃","52.00%",""
2023/03/03 10:01:52,"20.19℃","51.94%",""
2023/03/03 10:11:52,"20.13℃","51.94%",""
2023/03/03 10:21:52,"20.13℃","52.19%",""
2023/03/03 10:31:52,"20.06℃","52.12%",""
2023/03/03 10:41:52,"20.00℃","52.19%",""
2023/03/03 10:51:52,"20.06℃","51.88%",""
2023/03/03 11:01:52,"20.06℃","51.75%",""
2023/03/03 11:11:52,"20.13℃","51.56%",""
2023/03/03 11:21:52,"20.19℃","51.81%",""
2023/03/03 11:31:52,"20.25℃","51.62%",""
2023/03/03 11:41:52,"20.31℃","51.56%",""
2023/03/03 11:51:52,"20.44℃","51.50%",""
2023/03/03 12:01:52,"20.50℃","51.19%",""
2023/03/03 12:11:52,"20.50℃","51.06%",""
2023/03/03 12:21:52,"20.63℃","51.06%",""
2023/03/03 12:31:52,"20.63℃","50.81%",""
2023/03/03 12:41:52,"20.63℃","50.75%",""
2023/03/03 12:51:52,"20.69℃","50.56%",""
2023/03/03 13:01:52,"20.75℃","50.38%",""
2023/03/03 13:11:52,"20.75℃","50.31%",""
2023/03/03 13:21:52,"20.75℃","50.19%",""
2023/03/03 13:31:52,"20.75℃","50.12%",""
2023/03/03 13:41:52,"20.75℃","51.19%",""
2023/03/03 13:51:52,"20.81℃","55.44%",""
2023/03/03 14:01:52,"20.81℃","54.88%",""
2023/03/03 14:11:52,"20.81℃","53.00%",""
2023/03/03 14:21:52,"20.81℃","52.69%",""
2023/03/03 14:31:52,"20.81℃","52.56%",""
2023/03/03 14:41:52,"20.81℃","52.19%",""
2023/03/03 14:51:52,"20.81℃","51.88%",""
2023/03/03 15:01:52,"20.81℃","51.69%",""
2023/03/03 15:11:52,"20.75℃","51.62%",""
2023/03/03 15:21:52,"20.75℃","51.75%",""
2023/03/03 15:31:52,"20.69℃","51.94%",""
2023/03/03 15:41:52,"20.63℃","52.25%",""
2023/03/03 15:51:52,"20.69℃","52.62%",""
2023/03/03 16:01:52,"20.69℃","52.69%",""
2023/03/03 16:11:52,"20.75℃","52.75%",""
2023/03/03 16:21:52,"20.75℃","52.88%",""
2023/03/03 16:31:52,"20.81℃","52.94%",""
2023/03/03 16:41:52,"20.88℃","52.56%",""
2023/03/03 16:51:52,"20.88℃","52.44%",""
2023/03/03 17:01:52,"20.94℃","52.38%",""
2023/03/03 17:11:52,"20.94℃","52.25%",""
2023/03/03 17:21:52,"21.00℃","52.50%",""
2023/03/03 17:31:52,"21.00℃","52.88%",""
2023/03/03 17:41:52,"21.13℃","53.38%",""
