Date,Temp,Umidità,Remark
2023/06/10 11:07:37,"23.75℃","69.06%",""
2023/06/10 11:17:37,"23.75℃","69.00%",""
2023/06/10 11:27:37,"23.75℃","69.06%",""
2023/06/10 11:37:37,"23.81℃","69.38%",""
2023/06/10 11:47:37,"23.81℃","69.38%",""
2023/06/10 11:57:37,"23.81℃","68.94%",""
2023/06/10 12:07:37,"23.81℃","69.00%",""
2023/06/10 12:17:37,"23.81℃","69.06%",""
2023/06/10 12:27:37,"23.88℃","69.50%",""
2023/06/10 12:37:37,"23.88℃","69.56%",""
2023/06/10 12:47:37,"23.94℃","69.75%",""
2023/06/10 12:57:37,"24.00℃","70.38%",""
2023/06/10 13:07:37,"24.00℃","70.81%",""
2023/06/10 13:17:37,"24.06℃","71.25%",""
2023/06/10 13:27:37,"24.06℃","71.00%",""
2023/06/10 13:37:37,"24.06℃","70.75%",""
2023/06/10 13:47:37,"24.13℃","70.75%",""
2023/06/10 13:57:37,"24.13℃","70.44%",""
2023/06/10 14:07:37,"24.13℃","69.81%",""
2023/06/10 14:17:37,"24.13℃","69.50%",""
2023/06/10 14:27:37,"24.13℃","69.12%",""
2023/06/10 14:37:37,"24.13℃","68.81%",""
2023/06/10 14:47:37,"24.13℃","68.62%",""
2023/06/10 14:57:37,"24.13℃","68.31%",""
2023/06/10 15:07:37,"24.13℃","68.62%",""
2023/06/10 15:17:37,"24.13℃","69.00%",""
2023/06/10 15:27:37,"24.19℃","68.62%",""
2023/06/10 15:37:37,"24.13℃","68.69%",""
2023/06/10 15:47:37,"24.13℃","69.00%",""
2023/06/10 15:57:37,"24.13℃","67.62%",""
2023/06/10 16:07:37,"24.19℃","67.12%",""
2023/06/10 16:17:37,"24.19℃","65.81%",""
2023/06/10 16:27:37,"24.13℃","65.50%",""
2023/06/10 16:37:37,"24.19℃","65.00%",""
2023/06/10 16:47:37,"24.19℃","66.00%",""
2023/06/10 16:57:37,"24.19℃","65.50%",""
2023/06/10 17:07:37,"24.19℃","66.19%",""
2023/06/10 17:17:37,"24.19℃","66.31%",""
2023/06/10 17:27:37,"24.19℃","66.50%",""
2023/06/10 17:37:37,"24.19℃","66.06%",""
2023/06/10 17:47:37,"24.19℃","66.19%",""
2023/06/10 17:57:37,"24.19℃","66.25%",""
2023/06/10 18:07:37,"24.19℃","66.38%",""
2023/06/10 18:17:37,"24.19℃","66.38%",""
2023/06/10 18:27:37,"24.19℃","66.44%",""
2023/06/10 18:37:37,"24.19℃","66.62%",""
2023/06/10 18:47:37,"24.25℃","66.50%",""
2023/06/10 18:57:37,"24.25℃","66.69%",""
2023/06/10 19:07:37,"24.25℃","66.69%",""
2023/06/10 19:17:37,"24.25℃","66.69%",""
2023/06/10 19:27:37,"24.25℃","66.81%",""
2023/06/10 19:37:37,"24.25℃","67.00%",""
2023/06/10 19:47:37,"24.25℃","67.00%",""
2023/06/10 19:57:37,"24.25℃","67.12%",""
2023/06/10 20:07:37,"24.25℃","67.31%",""
2023/06/10 20:17:37,"24.25℃","67.75%",""
2023/06/10 20:27:37,"24.25℃","67.88%",""
2023/06/10 20:37:37,"24.25℃","67.81%",""
2023/06/10 20:47:37,"24.25℃","68.62%",""
2023/06/10 20:57:37,"24.25℃","67.94%",""
2023/06/10 21:07:37,"24.25℃","67.81%",""
2023/06/10 21:17:37,"24.25℃","68.00%",""
2023/06/10 21:27:37,"24.19℃","67.94%",""
2023/06/10 21:37:37,"24.19℃","68.25%",""
2023/06/10 21:47:37,"24.25℃","68.25%",""
2023/06/10 21:57:37,"24.19℃","68.19%",""
2023/06/10 22:07:37,"24.19℃","68.31%",""
2023/06/10 22:17:37,"24.19℃","68.25%",""
2023/06/10 22:27:37,"24.19℃","68.06%",""
2023/06/10 22:37:37,"24.19℃","68.25%",""
2023/06/10 22:47:37,"24.19℃","68.12%",""
2023/06/10 22:57:37,"24.19℃","68.12%",""
2023/06/10 23:07:37,"24.19℃","68.00%",""
2023/06/10 23:17:37,"24.19℃","68.06%",""
2023/06/10 23:27:37,"24.19℃","68.25%",""
2023/06/10 23:37:37,"24.19℃","68.12%",""
2023/06/10 23:47:37,"24.19℃","68.38%",""
2023/06/10 23:57:37,"24.19℃","68.38%",""
2023/06/11 00:07:37,"24.19℃","69.00%",""
2023/06/11 00:17:37,"24.19℃","68.62%",""
2023/06/11 00:27:37,"24.19℃","68.69%",""
2023/06/11 00:37:37,"24.19℃","68.94%",""
2023/06/11 00:47:37,"24.19℃","69.00%",""
2023/06/11 00:57:37,"24.19℃","69.00%",""
2023/06/11 01:07:37,"24.19℃","69.06%",""
2023/06/11 01:17:37,"24.19℃","69.12%",""
2023/06/11 01:27:37,"24.19℃","69.25%",""
2023/06/11 01:37:37,"24.19℃","69.31%",""
2023/06/11 01:47:37,"24.13℃","69.44%",""
2023/06/11 01:57:37,"24.13℃","69.56%",""
2023/06/11 02:07:37,"24.13℃","69.56%",""
2023/06/11 02:17:37,"24.13℃","69.62%",""
2023/06/11 02:27:37,"24.13℃","69.56%",""
2023/06/11 02:37:37,"24.13℃","69.62%",""
2023/06/11 02:47:37,"24.13℃","69.56%",""
2023/06/11 02:57:37,"24.13℃","69.62%",""
2023/06/11 03:07:37,"24.13℃","69.50%",""
2023/06/11 03:17:37,"24.13℃","69.81%",""
2023/06/11 03:27:37,"24.13℃","70.00%",""
2023/06/11 03:37:37,"24.13℃","70.06%",""
2023/06/11 03:47:37,"24.13℃","70.19%",""
2023/06/11 03:57:37,"24.13℃","70.00%",""
2023/06/11 04:07:37,"24.13℃","70.19%",""
2023/06/11 04:17:37,"24.06℃","69.94%",""
2023/06/11 04:27:37,"24.06℃","69.94%",""
2023/06/11 04:37:37,"24.06℃","70.00%",""
2023/06/11 04:47:37,"24.06℃","69.94%",""
2023/06/11 04:57:37,"24.06℃","69.94%",""
2023/06/11 05:07:37,"24.06℃","69.88%",""
2023/06/11 05:17:37,"24.06℃","69.88%",""
2023/06/11 05:27:37,"24.06℃","69.81%",""
2023/06/11 05:37:37,"24.00℃","69.94%",""
2023/06/11 05:47:37,"24.00℃","69.94%",""
2023/06/11 05:57:37,"24.00℃","69.88%",""
2023/06/11 06:07:37,"24.00℃","69.75%",""
2023/06/11 06:17:37,"24.00℃","69.81%",""
2023/06/11 06:27:37,"24.00℃","69.75%",""
2023/06/11 06:37:37,"24.00℃","70.00%",""
2023/06/11 06:47:37,"24.00℃","69.94%",""
2023/06/11 06:57:37,"24.00℃","69.88%",""
2023/06/11 07:07:37,"24.00℃","69.88%",""
2023/06/11 07:17:37,"24.00℃","69.88%",""
2023/06/11 07:27:37,"24.00℃","69.94%",""
2023/06/11 07:37:37,"24.00℃","69.94%",""
2023/06/11 07:47:37,"23.94℃","69.94%",""
